title,description,subjects,subject_places,subject_people,subject_times,first_publish_date,author_keys,latest_revision,clean_description,cluster
Here are my hands,"The owner of a human body celebrates it by pointing out various parts and mentioning their functions, from ""hands for catching and throwing"" to the ""skin that bundles me in.""","['Human body', 'Fiction', 'Stories in rhyme', 'Body, Human', 'Human Body', 'Picture books for children', 'Picture books', ""Children's fiction"", 'Human body, fiction', 'Juvenile fiction']",,,,,"['OL28506A', 'OL398410A']",12,the owner of a human body celebrates it by pointing out various parts and mentioning their functions from hands for catching and throwing to the skin that bundles me in,14
The Great Cheese Conspiracy,"Tired of gangster movies and a steady diet of candy wrappers, three theater mice decide to rob a cheese shop.","['Robbers and outlaws', 'Mice', 'Humorous stories', 'Fiction']",,,,,['OL21432A'],6,tired of gangster movies and a steady diet of candy wrappers three theater mice decide to rob a cheese shop,14
True lies,Presents a collection of eighteen brief folktales in which the reader is asked to explain how the folk character lied and told the truth at the same time.,"['Tales', 'Folklore', 'Literary recreations', ""Children's fiction"", ""Children's stories"", 'Short stories', 'Mystery and detective stories', 'Curiosities and wonders, juvenile literature', 'Curiosities and wonders']",,,,,['OL19604A'],8,presents a collection of eighteen brief folktales in which the reader is asked to explain how the folk character lied and told the truth at the same time,12
The War Within,"In 1862, after Union forces expel Hannah's family from Holly Springs, Mississippi, because they are Jews, Hannah reexamines her views regarding slavery and the war.","['Jews', 'Juvenile fiction', 'Mississippi Civil War, 1861-1865', 'Slavery', 'Prejudices', 'Fiction', 'United States Civil War, 1861-1865', 'History y Civil War, 1861-1865', 'History', ""Children's fiction"", 'War, fiction', 'Prejudices, fiction', 'Large type books', 'Historical fiction', 'Slavery, fiction', 'Jews, united states, fiction', 'United states, history, civil war, 1861-1865, fiction', 'Mississippi, fiction']","['Mississippi', 'United States']",,"['Civil War, 1861-1865']",,['OL19669A'],11,in 1862 after union forces expel hannahs family from holly springs mississippi because they are jews hannah reexamines her views regarding slavery and the war,16
Aṭṭhasālinī,"Commentary on Dhammasaṅgaṇī, canonical text of Theravada Buddhism.","['Commentaries', 'Early works to 1800', 'Tipaiṭak', 'Tipiṭaka', 'Tripiṭaka']",,,['Early works to 1800'],,['OL15853A'],8,commentary on dhammasangani canonical text of theravada buddhism,14
Stink Bomb Mom,"Constantly embarrassed by her eccentric mother, Rory finds solace with her many pets and wonders what it would be like to live with the departed father she hardly knows.","['Fiction', 'Mothers and daughters', 'Single-parent families', 'Pets']",,,,,['OL19648A'],8,constantly embarrassed by her eccentric mother rory finds solace with her many pets and wonders what it would be like to live with the departed father she hardly knows,6
Tell Me If the Lovers Are Losers,"In 1961 at a college for academically gifted women, three roommates who differ substantially from each other are brought together by a common interest in volleyball.","['Fiction', 'Friendship', 'Juvenile fiction', 'Universities and colleges', 'Volleyball', ""Children's fiction"", 'Friendship, fiction']",,,,,['OL39299A'],9,in 1961 at a college for academically gifted women three roommates who differ substantially from each other are brought together by a common interest in volleyball,14
David's waiting day,David waits for Mother to come home from the hospital with his new baby sister.,"['Brothers and sisters', ""Children's stories"", 'Fiction', 'Siblings, fiction', ""Children's fiction""]",,,,,['OL21484A'],8,david waits for mother to come home from the hospital with his new baby sister,17
Zelda and Ivy one Christmas,"After making a special Christmas gift for their elderly neighbor,  two sisters find just what they wanted under their tree.","['Christmas', 'Fiction', 'Foxes', 'Juvenile fiction', 'Neighbors', 'Pictorial works', 'Sisters', 'Zelda and Ivy (Fictitious characters)', 'Zelda (Fictitious character : Kvasnosky)', 'Ivy (Fictitious character : Kvasnosky)', ""Children's fiction"", 'Christmas, fiction', 'Foxes, fiction', 'Sisters, fiction', 'Neighbors, fiction', 'Humorous stories']",,,,,['OL30856A'],10,after making a special christmas gift for their elderly neighbor two sisters find just what they wanted under their tree,14
Oddly Enough,"A collection of nine short stories featuring an angel, unicorn, vampire, werewolf, and other unusual creatures.","['Horror stories', 'American Horror tales', 'Short stories', ""Children's stories, American"", ""Children's fiction"", 'Fantasy fiction', 'Ghost stories']",,,,,['OL23704A'],12,a collection of nine short stories featuring an angel unicorn vampire werewolf and other unusual creatures,12
Last Year's Nightingale,"Clementine Foster was young and unbelievably naive when she fell wildly in love with the arrogant aristocrat, Deveril Grayshott, who didn't even know of her existence. When, one golden summer night she stepped in front of his horse, he took her with all the drunken arrogance of a young aristocrat used to having whatever he wanted. But the repercussions were to reach far beyond that night, bringing hate, love and tragedy to both their lives. After the rape, Clementine became pregnant. And when she bore a son, who ultimately appears to be the only future heir to the Grayshott inheritance and according to the law of the Regency England, she had no right to keep her son if Deveril wanted to claim him. Refusing to bear this dreadful injustice, Clementine resolved to fight to keep her son - whatever the cost.","['1980s', 'Drama', 'English', 'Fiction', 'Historical', 'Romance', 'Fiction, romance, general', 'Inheritance and succession', 'Illegitimate children']",['England'],"['Clementine Foster', 'Deveril Grayshott']",['Regency Era'],,['OL39840A'],8,clementine foster was young and unbelievably naive when she fell wildly in love with the arrogant aristocrat deveril grayshott who didnt even know of her existence when one golden summer night she stepped in front of his horse he took her with all the drunken arrogance of a young aristocrat used to having whatever he wanted but the repercussions were to reach far beyond that night bringing hate love and tragedy to both their lives after the rape clementine became pregnant and when she bore a son who ultimately appears to be the only future heir to the grayshott inheritance and according to the law of the regency england she had no right to keep her son if deveril wanted to claim him refusing to bear this dreadful injustice clementine resolved to fight to keep her son whatever the cost,7
The Golden Goose,Little Golden Books are proud to present this fresh re-telling of a traditional folktale by the Brothers Grimm.,"['Geese, fiction', ""Children's fiction"", 'Princesses, fiction', 'War damage compensation', 'Reconstruction (1939-1951)', 'Commerce', 'Fairy tales', 'Juvenile literature', 'Folklore']",,,,,['OL2658408A'],9,little golden books are proud to present this fresh retelling of a traditional folktale by the brothers grimm,14
The story of the sinking of the battleship Maine,"Discusses the mysterious sinking of the battleship ""Maine"" and the subsequent involvement of the United States in the Spanish-American War.","['Politics and government', 'Maine (Battleship)', 'Spanish-American War, 1898', 'Juvenile literature', 'Causes', '1865-1898', 'Spanish-American War (1898) fast (OCoLC)fst01128682', 'War']",['United States'],,['1897-1901'],,['OL25160A'],6,discusses the mysterious sinking of the battleship maine and the subsequent involvement of the united states in the spanishamerican war,16
"Animals, animals",An illustrated collection of poems by a variety of authors describing the peculiarities of pets and wild and domestic animals.,"['Animals', 'Juvenile poetry', ""Children's poetry"", 'Poetry', 'Collections']",,,,,['OL34330A'],7,an illustrated collection of poems by a variety of authors describing the peculiarities of pets and wild and domestic animals,12
Kittens,"Photographs and text show the development, characteristics and behavior of kittens, and also features photographs and descriptions of several different breeds of cats.","['Development', 'Cats', 'Juvenile literature', 'Kittens']",,,,,['OL23525A'],3,photographs and text show the development characteristics and behavior of kittens and also features photographs and descriptions of several different breeds of cats,9
Unlocking the Air,"This collection of mainstream stories, which have been published in such distinguished magazines as The New Yorker, Harper's, Omni, and Playboy, is a stunning example of the virtuosity of the legendary Ursula K. Le Guin. In her own words: ""These stories span twelve years of writing, from the early eighties to the mid-nineties. It took them a long time to gather themselves into a whole, with the shape and the subtle interconnections that make a bunch of stories into a book.

""Recently I have published two collections of science-fiction stories. The stories in Unlocking the Air aren't science fiction; they belong variously to plain realism, or magical realism, or surrealism, or postmodern genres that don't even have names yet. They approach reality sometimes frontally, confrontationally, in daylight; sometimes deviously, by a back road in the dark; but they always approach it.

Some take place in realistic settings, such as the central European country of Orsinia or the town of Ether, OR. Others take place in highly fantastic settings, such as Oakland, Cleveland, or Portland. Several of them use a multiple voice, or a mythic voice, to talk about reality, because reality is a slippery fish that often can be caught only in a net of spells, or with the hook of metaphor. These stories are explorations of the mysteries of name and time and ordinary living and ordinary pain.""","['Manners and customs', 'American Fantasy fiction', 'Fiction', 'Fiction, fantasy, collections & anthologies', 'New York Times reviewed']",,,,,['OL31353A'],8,this collection of mainstream stories which have been published in such distinguished magazines as the new yorker harpers omni and playboy is a stunning example of the virtuosity of the legendary ursula k le guin in her own words these stories span twelve years of writing from the early eighties to the midnineties it took them a long time to gather themselves into a whole with the shape and the subtle interconnections that make a bunch of stories into a book recently i have published two collections of sciencefiction stories the stories in unlocking the air arent science fiction they belong variously to plain realism or magical realism or surrealism or postmodern genres that dont even have names yet they approach reality sometimes frontally confrontationally in daylight sometimes deviously by a back road in the dark but they always approach it some take place in realistic settings such as the central european country of orsinia or the town of ether or others take place in highly fantastic settings such as oakland cleveland or portland several of them use a multiple voice or a mythic voice to talk about reality because reality is a slippery fish that often can be caught only in a net of spells or with the hook of metaphor these stories are explorations of the mysteries of name and time and ordinary living and ordinary pain,12
Shifting the blame,"Drawing on legal cases, legal debates, and fiction including works by James Fenimore Cooper, Mark Twain, Stephen Crane, and Charles Chesnutt, Nan Goodman investigates changing notions of responsibility and agency in nineteenth-century America. By looking at accidents and accident law in the industrializing society, Goodman shows how courts moved away from the doctrine of strict liability to a new notion of liability that emphasized fault and negligence.

Shifting the Blame reveals the pervasive impact of this radically new theory of responsibility in understandings of industrial hazards, in manufacturing dangers, and in the stories that were told and retold about accidents.","['19th century', 'Accident law', 'Accidents in literature', 'American Legal stories', 'American literature', 'Blame in literature', 'History', 'History and criticism', 'Law and literature', 'Negligence in literature', 'Responsibility in literature', 'United States', 'American literature, history and criticism, 19th century', 'Law, anecdotes, facetiae, satire, etc.', 'Liability (law)', 'Law in literature', 'Négligence (Droit) dans la littérature', 'Responsabilité dans la littérature', 'Accidents dans la littérature', 'Littérature américaine', 'Blâme dans la littérature', 'Droit et littérature']",['United States'],,['19th century'],,['OL31272A'],8,drawing on legal cases legal debates and fiction including works by james fenimore cooper mark twain stephen crane and charles chesnutt nan goodman investigates changing notions of responsibility and agency in nineteenthcentury america by looking at accidents and accident law in the industrializing society goodman shows how courts moved away from the doctrine of strict liability to a new notion of liability that emphasized fault and negligence shifting the blame reveals the pervasive impact of this radically new theory of responsibility in understandings of industrial hazards in manufacturing dangers and in the stories that were told and retold about accidents,4
Sons and Lovers,"<p><i>Sons and Lovers</i>, a story of working-class England, is <a href=""https://standardebooks.org/ebooks/d-h-lawrence""><abbr>D. H.</abbr> Lawrence’s</a> third novel. It went through various drafts, and was titled “Paul Morel” until the final draft, before being published and met with an indifferent reaction from contemporary critics. Modern critics now consider it to be <abbr>D. H.</abbr> Lawrence’s masterpiece, with the Modern Library placing it ninth in its “100 Best English-Language Novels of the 20th Century.”</p>
			<p>The novel follows the Morels, a family living in a coal town, and headed by a passionate but boorish miner. His wife, originally from a refined family, is dragged down by Morel’s classlessness, and finds her life’s joy in her children. As the children grow up and start leading lives of their own, they struggle against their mother’s emotional drain on them.</p>
			<p><i>Sons and Lovers</i> was written during a period in Lawrence’s life when his own mother was gravely ill. Its exploration of the Oedipal instinct, frank depiction of working-class household unhappiness and violence, and accurate and colorful depiction of Nottinghamshire dialect, make it a fascinating window into the life of people not often chronicled in fiction of the day.</p>","['Fiction', 'England in fiction', 'Working class families', 'Young men in fiction', 'Working class families in fiction', 'Young men', 'Facsimiles', 'Social life and customs', 'England', 'Manuscripts', 'English Manuscripts', 'Coal mines and mining', 'Domestic fiction', 'Coal mines and mining in fiction', 'Customs and Manners', 'Classic Literature', 'Mothers and sons', 'Married women', 'Possessiveness', 'Coal miners', 'open_syllabus_project', 'Working class families -- Fiction', 'Young men -- Fiction', 'England -- Fiction', 'British and irish fiction (fictional works by one author)', 'England, fiction', 'Fiction, family life', 'Fiction, coming of age', 'Fiction, biographical', 'Large type books', 'Fiction, family life, general', 'Lawrence, d. h. (david herbert), 1885-1930', 'Families', 'Fiction, fantasy, general', 'Fiction, erotica, general', 'Autobiographical fiction', 'Bildungsromans', 'Long Now Manual for Civilization', 'Family']",['England'],['D. H. Lawrence (1885-1930)'],['20th century'],,['OL19964A'],39,pisons and loversi a story of workingclass england is a hrefhttpsstandardebooksorgebooksdhlawrenceabbrd habbr lawrencesa third novel it went through various drafts and was titled paul morel until the final draft before being published and met with an indifferent reaction from contemporary critics modern critics now consider it to be abbrd habbr lawrences masterpiece with the modern library placing it ninth in its 100 best englishlanguage novels of the 20th centuryp pthe novel follows the morels a family living in a coal town and headed by a passionate but boorish miner his wife originally from a refined family is dragged down by morels classlessness and finds her lifes joy in her children as the children grow up and start leading lives of their own they struggle against their mothers emotional drain on themp pisons and loversi was written during a period in lawrences life when his own mother was gravely ill its exploration of the oedipal instinct frank depiction of workingclass household unhappiness and violence and accurate and colorful depiction of nottinghamshire dialect make it a fascinating window into the life of people not often chronicled in fiction of the dayp,18
I took my frog to the library,A young girl brings her pets to the library--with predictably disastrous results.,"['Juvenile fiction', 'Pets in fiction', 'Fiction', 'Libraries', 'Libraries in fiction', 'Pets', ""Children's fiction"", 'Pets, fiction']",,,,,['OL21284A'],7,a young girl brings her pets to the librarywith predictably disastrous results,14
Robbie,"""Robbie"" is a science fiction short story by American writer Isaac Asimov. It was his first robot story and writing commenced on June 10, 1939. It was first published in the September 1940 issue Super Science Stories magazine as ""Strange Playfellow"", a title that was chosen by editor Frederik Pohl and described as ""distasteful"" by Asimov. A revised version of ""Robbie"" was reprinted under Asimov's original title in the collections [I, Robot](https://openlibrary.org/works/OL46241W) (1950), [The Complete Robot](https://openlibrary.org/works/OL46368W) (1982), and [Robot Visions](https://openlibrary.org/works/OL46337W) (1990). ""Robbie"" was the fourteenth story written by Asimov, and the ninth to be published. The story is also part of Asimov's Robot series, and was the first of Asimov's positronic robot stories to see publication.

The story centers on the technophobia that surrounds robots, and how it is misplaced. Almost all previously published science fiction stories featuring robots followed the theme 'robot turns against creator'; Asimov has consistently held the belief that the Frankenstein complex was a misplaced fear, and the majority of his works attempted to provide examples of the help that robots could provide humanity.

In 2016 Robbie won a retrospective 1941 Hugo Award for best short story.


----------
Also contained in:
[Collected short stories](https://openlibrary.org/works/OL14959230W)
[Tales beyond time](https://openlibrary.org/works/OL2113794W)","['Robots in fiction', 'Robots', 'Science fiction', 'Fiction', ""Children's fiction""]","['New York City', 'Museum of Science and Industry', 'Finmark Robot Corporation']","['Robbie', 'Gloria Weston', 'Mr. Weston']",['1982'],,['OL34221A'],12,robbie is a science fiction short story by american writer isaac asimov it was his first robot story and writing commenced on june 10 1939 it was first published in the september 1940 issue super science stories magazine as strange playfellow a title that was chosen by editor frederik pohl and described as distasteful by asimov a revised version of robbie was reprinted under asimovs original title in the collections i robothttpsopenlibraryorgworksol46241w 1950 the complete robothttpsopenlibraryorgworksol46368w 1982 and robot visionshttpsopenlibraryorgworksol46337w 1990 robbie was the fourteenth story written by asimov and the ninth to be published the story is also part of asimovs robot series and was the first of asimovs positronic robot stories to see publication the story centers on the technophobia that surrounds robots and how it is misplaced almost all previously published science fiction stories featuring robots followed the theme robot turns against creator asimov has consistently held the belief that the frankenstein complex was a misplaced fear and the majority of his works attempted to provide examples of the help that robots could provide humanity in 2016 robbie won a retrospective 1941 hugo award for best short story also contained in collected short storieshttpsopenlibraryorgworksol14959230w tales beyond timehttpsopenlibraryorgworksol2113794w,12
Time & place,"In 1952, in Appleby, Texas, the small town to which many have fled to escape the polio epidemic, is caught by the epidemic anyway ...","['Fiction', 'Poliomyelitis', 'Patients', 'Texas, fiction', 'Fiction, medical']","['Fort Davis (Tex.)', 'Texas']",,,,['OL28877A'],8,in 1952 in appleby texas the small town to which many have fled to escape the polio epidemic is caught by the epidemic anyway,14
Theodore Roosevelt,"Describes the childhood, education, employment, and political career of the energetic man who served as the twenty-sixth president of the United States.","['Presidents', 'Juvenile literature', 'Biography']",['United States'],['Theodore Roosevelt (1858-1919)'],,,['OL31203A'],7,describes the childhood education employment and political career of the energetic man who served as the twentysixth president of the united states,14
The annunciation,"""Ellen Gilchrist's debut novel expands the thematic and visual landscapes the author made indelibly hers in radiantly spun stories. The Annunciation follows the desires of Amanda McCamey: an unwed mother on a Mississippi Delta plantation at age fourteen, a wealthy New Orleans matron until her early forties, and now a divorced poetry student living in a university community in the Ozarks.

When Amanda finds herself infatuated with an intense young musician, what at first appears to be a sexual intrigue becomes a grand and impossible passion that unfolds with striking parallels to the life of the eighteenth-century French poetess whose work she is translating.""--BOOK JACKET.","['Fiction', 'Divorced women', 'Women poets', 'Women translators', 'Fiction, psychological', 'Fiction, romance, contemporary', 'Divorced people, fiction', 'New orleans (la.), fiction']",['Arkansas'],,,,['OL28206A'],6,ellen gilchrists debut novel expands the thematic and visual landscapes the author made indelibly hers in radiantly spun stories the annunciation follows the desires of amanda mccamey an unwed mother on a mississippi delta plantation at age fourteen a wealthy new orleans matron until her early forties and now a divorced poetry student living in a university community in the ozarks when amanda finds herself infatuated with an intense young musician what at first appears to be a sexual intrigue becomes a grand and impossible passion that unfolds with striking parallels to the life of the eighteenthcentury french poetess whose work she is translatingbook jacket,18
Aunt Dimity,"The original paranormal detective returns in the latest installment of a beloved mystery seriesLori Shepherd's life in England couldn't be more tranquil or more satisfying—except for one thing. Her five- year-old twins have started school, and Lori fears they'll catch everything from the flu to fleas. What they do come home with, however, is worse: a report of a pale, cloaked figure with bloodstained lips lurking in the woods.Lori is skeptical at first but soon grows concerned enough to consult with her late (but not entirely departed) Aunt Dimity and her dear friend Kit Smith. The vampire-hunting trail leads to Leo, a charismatic vagabond who just returned to England after a self-imposed exile, a bitter old crone named Lizzie Black, and finally to Aldercot Hall, where a mysterious murder took place forty years ago. With Kit and Aunt Dimity's help, Lori uncovers the secret that will shock everyone—including herself—about the true identity of the twins' vampire.With its placid English countryside setting, eccentric characters, and lighthearted charm, Atherton's newest novel will enchant cozy mystery aficionados and the many loyal readers of the Aunt Dimity series.","['Fiction', 'Aunt Dimity (Fictitious character)', 'Women detectives', 'Vampires', 'Mystery', 'Fiction, mystery & detective, women sleuths', 'Dimity, aunt (fictitious character), fiction']","['England', 'Cotswold Hills', 'Cotswold Hills (England)']",,,,['OL28158A'],7,the original paranormal detective returns in the latest installment of a beloved mystery serieslori shepherds life in england couldnt be more tranquil or more satisfyingexcept for one thing her five yearold twins have started school and lori fears theyll catch everything from the flu to fleas what they do come home with however is worse a report of a pale cloaked figure with bloodstained lips lurking in the woodslori is skeptical at first but soon grows concerned enough to consult with her late but not entirely departed aunt dimity and her dear friend kit smith the vampirehunting trail leads to leo a charismatic vagabond who just returned to england after a selfimposed exile a bitter old crone named lizzie black and finally to aldercot hall where a mysterious murder took place forty years ago with kit and aunt dimitys help lori uncovers the secret that will shock everyoneincluding herselfabout the true identity of the twins vampirewith its placid english countryside setting eccentric characters and lighthearted charm athertons newest novel will enchant cozy mystery aficionados and the many loyal readers of the aunt dimity series,6
"Sing for Your Father, Su Phan",Recalls the events in a North Vietnamese village that forever changed the lives of the youngest daughter of a prosperous trader and her family.,"['Family life', 'Fiction', 'Vietnamese Conflict, 1961-1975', 'Vietnam War (1961-1975) fast (OCoLC)fst01431664', 'Juvenile fiction', 'Vietnam War, 1961-1975', ""Children's fiction"", 'Family life, fiction', 'Vietnam war, 1961-1975, fiction', 'Vietnam, fiction', 'Prisons, fiction', 'Families']",['Vietnam (Democratic Republic)'],,,,['OL28186A'],8,recalls the events in a north vietnamese village that forever changed the lives of the youngest daughter of a prosperous trader and her family,7
The Penguin dictionary of troublesome words,"One of the English language's most skilled and beloved writers guides us all toward precise, mistake-free usage.As usual Bill Bryson says it best: ""English is a dazzlingly idiosyncratic tongue, full of quirks and irregularities that often seem willfully at odds with logic and common sense. This is a language where 'cleave' can mean to cut in half or to hold two halves together; where the simple word 'set' has 126 different meanings as a verb, 58 as a noun, and 10 as a participial adjective; where if you can run fast you are moving swiftly, but if you are stuck fast you are not moving at all; [and] where 'colonel,' 'freight,' 'once,' and 'ache' are strikingly at odds with their spellings."" As a copy editor for the London Times in the early 1980s, Bill Bryson felt keenly the lack of an easy-to-consult, authoritative guide to avoiding the traps and snares in English, and so he brashly suggested to a publisher that he should write one. Surprisingly, the proposition was accepted, and for ""a sum of money carefully gauged not to cause embarrassment or feelings of overworth,"" he proceeded to write that book--his first, inaugurating his stellar career.Now, a decade and a half later, revised, updated, and thoroughly (but not overly) Americanized, it has become Bryson's Dictionary of Troublesome Words, more than ever an essential guide to the wonderfully disordered thing that is the English language. With some one thousand entries, from ""a, an"" to ""zoom,"" that feature real-world examples of questionable usage from an international array of publications, and with a helpful glossary and guide to pronunciation, this precise, prescriptive, and--because it is written by Bill Bryson--often witty book belongs on the desk of every person who cares enough about the language not to maul or misuse or distort it.From the Hardcover edition.","['English language', 'Usage', 'Rhetoric', 'Dictionaries', 'Language Arts', 'Nonfiction', 'English language, usage', 'Engels', 'Moeilijke woorden', 'Ingles (Dicionarios)', 'Lexicologie', 'Langues', 'Dictionnaires', 'Fiction, general', 'English language, dictionaries', 'Encyclopedias and dictionaries']",,,,,['OL21718A'],13,one of the english languages most skilled and beloved writers guides us all toward precise mistakefree usageas usual bill bryson says it best english is a dazzlingly idiosyncratic tongue full of quirks and irregularities that often seem willfully at odds with logic and common sense this is a language where cleave can mean to cut in half or to hold two halves together where the simple word set has 126 different meanings as a verb 58 as a noun and 10 as a participial adjective where if you can run fast you are moving swiftly but if you are stuck fast you are not moving at all and where colonel freight once and ache are strikingly at odds with their spellings as a copy editor for the london times in the early 1980s bill bryson felt keenly the lack of an easytoconsult authoritative guide to avoiding the traps and snares in english and so he brashly suggested to a publisher that he should write one surprisingly the proposition was accepted and for a sum of money carefully gauged not to cause embarrassment or feelings of overworth he proceeded to write that bookhis first inaugurating his stellar careernow a decade and a half later revised updated and thoroughly but not overly americanized it has become brysons dictionary of troublesome words more than ever an essential guide to the wonderfully disordered thing that is the english language with some one thousand entries from a an to zoom that feature realworld examples of questionable usage from an international array of publications and with a helpful glossary and guide to pronunciation this precise prescriptive andbecause it is written by bill brysonoften witty book belongs on the desk of every person who cares enough about the language not to maul or misuse or distort itfrom the hardcover edition,4
The birth of a grandfather,Story of two proper Bostonians whose marriage survived age and crisis.,"['Men', 'Psychology', 'Married people', 'Fiction', 'Father and child', 'Fiction, psychological', 'Fiction, family life', 'Married people, fiction', 'United states, fiction', 'Father and child, fiction', 'Fiction, family life, general']",['United States'],,,,['OL40097A'],9,story of two proper bostonians whose marriage survived age and crisis,14
The asteroids,"Introduces the bodies in space also known as planetoids, minor planets, or when they stray from their paths, meteoroids.","['Asteroids', 'Juvenile literature', 'Spanish language materials', 'Asteroides', 'Literatura juvenil', 'Astéroïdes', 'Ouvrages pour la jeunesse', 'Outer space, juvenile literature', 'Outer space', 'Astronomy, juvenile literature', 'Astronomy']",,,,,['OL34221A'],14,introduces the bodies in space also known as planetoids minor planets or when they stray from their paths meteoroids,0
The National Congress of American Indians,"""Founded in 1944, the National Congress of American Indians (NCAI) is one of the most important intertribal political organizations of the twentieth century.""--BOOK JACKET.

""This is the first full-length history of the NCAI. Drawing upon newly available NCAI records and oral interviews with founding members, Thomas W. Cowger tells the story of the founding and critical first two decades of this important organization.

He presents the many accomplishments of and great challenges to the NCAI, examines its role in the development of Native political activism, and explores its relationships to contemporaneous events such as the Cold War, McCarthyism, and the civil rights movement.""--BOOK JACKET.","['Politics and government', 'Government relations', 'Indians of North America', '20th century', 'Sources', 'National Congress of American Indians', 'History', 'Indians of north america, middle west', 'Indians of north america, politics and government']",,,"['1934-', '20th century']",,['OL21675A'],9,founded in 1944 the national congress of american indians ncai is one of the most important intertribal political organizations of the twentieth centurybook jacket this is the first fulllength history of the ncai drawing upon newly available ncai records and oral interviews with founding members thomas w cowger tells the story of the founding and critical first two decades of this important organization he presents the many accomplishments of and great challenges to the ncai examines its role in the development of native political activism and explores its relationships to contemporaneous events such as the cold war mccarthyism and the civil rights movementbook jacket,4
The magic box,A town cut off from modern civilization and technology is drastically changed by a magic box that shows pictures.,"['Television', 'Fiction', 'Juvenile fiction', 'United states, history, 19th century, fiction']",,,,,"['OL21921A', 'OL497371A']",6,a town cut off from modern civilization and technology is drastically changed by a magic box that shows pictures,14
Histoire du paradis,"""We hold Christ's cross and Adam's tree to be in one place,"" wrote John Donne, speaking of the location of the Garden of Eden. Milton thought it ""below the Ethiope line"" (the equator). And every schoolchild once knew it was at the summit of Dante's ""seven storey mountain"" of the Purgatorio. Not only the location of the ""earthly paradise"" but its significance, historical and theological, preoccupied the collective mind and imagination of Europe for at least fifteen-hundred years.

Jean Delumeau has devoted himself to understanding the fears that have beset Western thinkers, particularly since the medieval period: how they arose, whether from nature, other human beings, or from some other world.

This History of Paradise continues the questioning, telling the story of how the Western mind from the late middle ages to the early modern period conceived the meaning and the place of primordial bliss. It tells of exploratory journeys to the Kingdom of Prester John, of the search for ""the happy isles,"" and of the gradual disillusionment (or enlightenment) that led to the transformation of the notion of a physical Garden of Eden to a metaphysical ""state of nature.""","['History of doctrines', 'Paradise', 'Christianity', 'Happiness', 'Religious aspects']",,,,,['OL31650A'],7,we hold christs cross and adams tree to be in one place wrote john donne speaking of the location of the garden of eden milton thought it below the ethiope line the equator and every schoolchild once knew it was at the summit of dantes seven storey mountain of the purgatorio not only the location of the earthly paradise but its significance historical and theological preoccupied the collective mind and imagination of europe for at least fifteenhundred years jean delumeau has devoted himself to understanding the fears that have beset western thinkers particularly since the medieval period how they arose whether from nature other human beings or from some other world this history of paradise continues the questioning telling the story of how the western mind from the late middle ages to the early modern period conceived the meaning and the place of primordial bliss it tells of exploratory journeys to the kingdom of prester john of the search for the happy isles and of the gradual disillusionment or enlightenment that led to the transformation of the notion of a physical garden of eden to a metaphysical state of nature,4
Narrative of the life of Frederick Douglass,This book is an autobiographical account by runaway slave Frederick Douglass that chronicles his experiences with his owners and overseers and discusses how slavery affected both slaves and slaveholders.,"['Douglass, frederick, 1818-1895', 'Biography', 'African American abolitionists', 'Abolitionists', 'Slaves', 'Slavery', 'History', 'African Americans', 'Slaves, united states', 'Biographies &amp; autobiographies', 'General', 'Personal narratives', 'African americans, biography', 'Dictionaries', 'English language', 'Historical', 'BIOGRAPHY & AUTOBIOGRAPHY', 'Korean', 'Antislavery movements, united states', 'United states, history, 19th century', 'Enslaved persons, united states', 'BIOGRAPHY & AUTOBIOGRAPHY / Cultural Heritage', 'HISTORY / United States / Civil War Period (1850-1877)', 'SOCIAL SCIENCE / Ethnic Studies / African American Studies', 'Douglass, frederick , 1818-1895', 'African american abolitionists--biography', 'Abolitionists--biography', 'Slaves--united states--biography', 'E449 .d749 2014', '973.8/092 b', 'Bio002000 his036050 soc001000', 'Autobiography', 'United states, history', 'Fiction, historical, general', ""Slaves' writings"", 'African American abolitionists -- Biography', 'Abolitionists -- United States -- Biography', 'Slaves -- United States -- Biography', 'Abolitionnistes noirs américains', 'Biographies', 'Abolitionnistes', 'Esclaves', 'Collectors and collecting', 'Social sciences', 'Language arts', ""Children's fiction"", 'Antislavery movements', 'Mouvements antiesclavagistes', 'Histoire', 'Long Now Manual for Civilization', 'Slavar', 'Biografi', 'Abolitionister', 'Slaveri', 'Historia']","['United States', 'Maryland', 'États-Unis']","['Frederick Douglass (1818-1895)', 'William Lloyd Garrison (1805-1879)']",,August 2002,['OL23684A'],20,this book is an autobiographical account by runaway slave frederick douglass that chronicles his experiences with his owners and overseers and discusses how slavery affected both slaves and slaveholders,4
